borough,easting,latitude,longtitude,northing,numberrcpoints,objectid,siteid,sitename,taxipublicuses,url,runtime
Kingston upon Thames,518139.0712731349,51.374389,-0.304065,165290.49166112987,1,52,641,"A243 TLRN - Ace Parade, side road on the TLRN",Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Wandsworth,521529.3654540375,51.437456,-0.252951,172387.27121269156,1,53,645,"A3 TLRN - Northbound parking bays, just south of Asda ",Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Southwark,533198.77701369766,51.496206,-0.082589,179216.51885216916,1,54,711,76-80 Tower Bridge Road,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Southwark,531840.79632547416,51.506124,-0.101741,180284.78104521544,1,55,714,103 Southwark Street,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Southwark,532176.98381901858,51.505130,-0.096938,180182.90120843478,1,56,715,76 Southwark Street,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Southwark,532340.22131146002,51.504862,-0.094597,180157.32571193983,1,57,717,48 Southwark Street,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Southwark,532396.80515444407,51.504710,-0.093788,180141.88480588834,1,58,719,49 Southwark Street,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Southwark,532725.22974705661,51.497241,-0.089368,179319.30970892392,1,59,729,"Great Dover Street northbound,",Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hounslow,520627.89704865468,51.487536,-0.264022,177938.1026651939,1,60,743,"35 Ellesmere Road, parking bay on south side of carriageway",Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hammersmith & Fulham,524529.72777076589,51.490698,-0.207697,178383.95717796206,1,61,745,16 Talgarth Road,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Wandsworth,528422.61785378249,51.475127,-0.152250,176748.10561966978,1,62,774,261 Battersea Park Road east of Forfar Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Wandsworth,527938.03504880192,51.473810,-0.159281,176589.35306909803,1,63,776,Battersea Park Road opp Beechmore Road (Wtnd),Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Havering,555472.35176442889,51.602208,0.243518,191647.15211309819,1,64,791,A12 Colchester Road - East of Geoffrey Avenue (Ebnd),Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Croydon,531241.40265334793,51.395458,-0.1149420,167954.79265005141,1,65,800,"797 London Road, Croydon",Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Croydon,530838.21839538589,51.390059,-0.120959,167343.66951966,2,66,802,"162 Thornton Road, Croydon",Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
